<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
200103,000000,2712.2000000,2718.0000000,2677.4000000,2685.0000000,263527
200106,000000,2682.2000000,2682.2000000,2650.6000000,2672.0000000,226702
200108,000000,2663.8000000,2707.0000000,2636.2000000,2677.0000000,252503
200109,000000,2685.0000000,2737.2000000,2683.4000000,2728.4000000,306731
200110,000000,2728.6000000,2760.0000000,2700.2000000,2725.0000000,308125
200113,000000,2713.4000000,2729.8000000,2692.0000000,2703.4000000,330909
200114,000000,2719.0000000,2750.0000000,2683.8000000,2685.0000000,468516
200115,000000,2677.0000000,2708.4000000,2660.0000000,2690.0000000,415484
200116,000000,2678.2000000,2869.2000000,2673.2000000,2719.8000000,1470744
200117,000000,2732.2000000,2776.8000000,2726.2000000,2772.8000000,668860
200120,000000,2790.0000000,2827.0000000,2777.0000000,2800.0000000,339337
200121,000000,2799.6000000,2799.6000000,2762.6000000,2770.0000000,350182
200122,000000,2783.2000000,2799.6000000,2673.2000000,2790.0000000,755887
200123,000000,2791.0000000,2826.6000000,2740.0000000,2820.2000000,480427
200124,000000,2798.0000000,2818.0000000,2775.8000000,2798.0000000,366624
200127,000000,2789.2000000,2802.0000000,2735.2000000,2780.0000000,481600
200128,000000,2785.2000000,2813.8000000,2765.6000000,2799.8000000,357013
200129,000000,2812.4000000,2890.0000000,2812.4000000,2890.0000000,679946
200130,000000,2880.0000000,2905.0000000,2852.4000000,2888.0000000,344028
200131,000000,2895.0000000,2913.0000000,2865.4000000,2873.4000000,296170
200203,000000,2856.8000000,2899.6000000,2843.2000000,2880.6000000,270342
200204,000000,2911.8000000,2994.8000000,2907.0000000,2990.0000000,469932
200205,000000,3010.6000000,3081.0000000,2992.4000000,3008.2000000,692586
200206,000000,3030.0000000,3076.0000000,3003.4000000,3048.2000000,389930
200207,000000,3058.6000000,3140.0000000,3022.4000000,3103.8000000,479731
200210,000000,3104.6000000,3143.0000000,3065.0000000,3087.2000000,422510
200211,000000,3100.0000000,3131.2000000,3066.2000000,3085.0000000,340079
200212,000000,3081.0000000,3083.2000000,3033.0000000,3037.2000000,551073
200213,000000,3066.6000000,3097.0000000,3035.2000000,3087.4000000,516454
200214,000000,3119.8000000,3127.6000000,2950.8000000,3011.0000000,1995630
200217,000000,2980.4000000,2989.8000000,2935.4000000,2983.6000000,497430
200218,000000,2990.0000000,2992.4000000,2917.2000000,2937.0000000,582824
200219,000000,2921.4000000,2991.2000000,2912.6000000,2953.0000000,728333
200220,000000,2945.0000000,2996.4000000,2941.4000000,2988.4000000,738945
200221,000000,2975.0000000,2996.0000000,2910.6000000,2911.8000000,645644
200225,000000,2799.8000000,2869.8000000,2672.6000000,2681.8000000,2303488
200226,000000,2661.2000000,2704.8000000,2538.4000000,2690.8000000,2316101
200227,000000,2665.0000000,2744.4000000,2620.4000000,2678.2000000,1662998
200228,000000,2624.8000000,2686.0000000,2540.2000000,2659.8000000,1464045
200302,000000,2732.8000000,2762.8000000,2615.2000000,2721.4000000,1290610
200303,000000,2744.0000000,2784.8000000,2701.4000000,2723.0000000,971355
200304,000000,2680.0000000,2708.8000000,2632.6000000,2654.2000000,697745
200305,000000,2743.0000000,2744.6000000,2643.2000000,2728.2000000,894054
200306,000000,2700.8000000,2711.8000000,2556.0000000,2685.0000000,1005756
200310,000000,2520.0000000,2757.8000000,2500.0000000,2590.0000000,1510732
200311,000000,2619.6000000,2640.0000000,2520.0000000,2615.0000000,910964
200312,000000,2559.8000000,2560.0000000,2350.0000000,2460.0000000,1547538
200313,000000,2439.8000000,2620.6000000,2400.0000000,2470.0000000,1221313
200316,000000,2459.6000000,2459.6000000,2241.2000000,2370.0000000,1286296
200317,000000,2320.0000000,2438.8000000,2257.0000000,2425.0000000,1078574
200318,000000,2357.0000000,2400.0000000,2251.0000000,2318.8000000,1288232
200319,000000,2345.4000000,2464.4000000,2273.2000000,2434.0000000,1509790
200320,000000,2484.0000000,2593.4000000,2414.0000000,2455.2000000,1335704
200323,000000,2376.8000000,2494.4000000,2295.0000000,2299.8000000,1233149
200324,000000,2365.0000000,2489.0000000,2363.0000000,2459.0000000,1072509
200325,000000,2549.8000000,2595.0000000,2480.2000000,2555.8000000,1339722
200326,000000,2587.8000000,2640.0000000,2505.0000000,2610.0000000,1169462
200327,000000,2649.8000000,2668.0000000,2552.6000000,2597.0000000,798730
200330,000000,2589.6000000,2678.8000000,2577.0000000,2670.2000000,659554
200331,000000,2700.0000000,2749.4000000,2647.0000000,2714.4000000,815448
200401,000000,2653.0000000,2679.6000000,2591.0000000,2605.8000000,762168
200402,000000,2621.0000000,2650.0000000,2493.8000000,2550.8000000,1102131
200403,000000,2540.2000000,2584.0000000,2514.4000000,2520.0000000,915527
200406,000000,2566.0000000,2609.0000000,2536.2000000,2582.0000000,785518
200407,000000,2607.0000000,2695.0000000,2602.2000000,2668.0000000,910645
200408,000000,2622.0000000,2742.6000000,2600.2000000,2742.6000000,758024
200409,000000,2722.8000000,2755.8000000,2661.2000000,2697.2000000,1045760
200410,000000,2705.0000000,2705.0000000,2671.6000000,2701.0000000,262317
200413,000000,2667.8000000,2688.0000000,2623.2000000,2659.0000000,349223
