<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
201216,000000,201.0100000,206.2000000,199.5400000,206.2000000,75214780
201217,000000,206.7000000,215.3800000,206.5100000,214.5200000,159538150
201218,000000,214.0000000,214.5000000,207.2200000,212.6900000,133717910
201221,000000,209.9100000,209.9900000,200.8000000,203.4600000,123517830
201222,000000,200.7400000,210.6800000,199.1900000,208.4000000,109794540
201223,000000,209.0000000,212.7800000,206.2000000,207.6300000,78877050
201224,000000,208.5400000,209.9600000,203.1500000,206.2400000,59081790
201225,000000,206.2000000,206.7300000,204.0100000,205.0300000,16517780
201228,000000,205.5300000,207.8600000,205.1500000,206.1100000,35038710
201229,000000,206.9500000,210.0000000,206.6100000,208.7500000,42353620
201230,000000,209.8800000,213.3800000,209.5000000,212.9800000,74667210
210104,000000,212.7100000,216.6300000,211.6400000,212.7100000,55195430
210105,000000,213.2000000,215.3800000,210.2200000,215.3200000,48913740
210106,000000,215.4800000,216.8000000,213.0700000,214.3800000,47897590
210108,000000,217.1400000,226.2400000,217.0000000,225.4900000,100717800
210111,000000,225.0500000,231.0000000,221.8100000,227.6000000,112506470
210112,000000,229.0000000,231.4400000,225.6600000,228.6900000,64309460
210113,000000,229.2900000,230.3500000,225.2000000,226.8000000,61102300
210114,000000,226.4900000,229.5700000,223.2000000,228.8600000,60003270
210115,000000,227.5000000,230.7000000,226.0000000,226.5000000,54765970
210118,000000,225.5500000,228.5000000,221.3400000,226.8800000,69147920
210119,000000,227.6600000,228.8500000,223.0000000,223.1500000,66619900
210120,000000,223.0000000,225.7800000,221.5500000,224.3000000,51248650
210121,000000,224.4000000,224.9600000,217.2200000,217.2800000,76701270
210122,000000,216.4500000,216.5000000,210.5000000,215.4900000,94721320
210125,000000,216.9000000,219.6600000,214.5300000,218.6800000,74456540
210126,000000,216.8000000,220.2900000,215.7100000,218.8000000,45114650
210127,000000,219.4900000,222.0000000,216.4400000,217.4000000,59271760
210128,000000,215.9100000,219.4900000,214.2600000,217.7000000,52341000
